,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,20_day_ma,50_day_ma
0,2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,146.34567260742188,74588300,,,
1,2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,147.3870849609375,69122000,0.007115987586049588,,
2,2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,148.83126831054688,54511500,0.009798701365408391,,
3,2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,148.31056213378906,60394600,-0.003498572579567205,,
4,2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,148.84185791015625,65463900,0.0021197141706292832,,
5,2021-11-08,151.41000366210938,151.57000732421875,150.16000366210938,150.44000244140625,148.01539611816406,55020900,-0.005552593499925207,,
6,2021-11-09,150.1999969482422,151.42999267578125,150.05999755859375,150.80999755859375,148.3794403076172,56787900,0.0024594197765426262,,
7,2021-11-10,150.02000427246094,150.1300048828125,147.85000610351562,147.9199981689453,145.5360107421875,65187100,-0.01916318172822462,,
8,2021-11-11,148.9600067138672,149.42999267578125,147.67999267578125,147.8699951171875,145.48680114746094,41000000,-0.0003380411869712274,,
9,2021-11-12,148.42999267578125,150.39999389648438,147.47999572753906,149.99000549316406,147.57269287109375,63804000,0.014336988205730705,,
10,2021-11-15,150.3699951171875,151.8800048828125,149.42999267578125,150.0,147.58251953125,59222800,6.663448543164918e-05,,
11,2021-11-16,149.94000244140625,151.49000549316406,149.33999633789062,151.0,148.56634521484375,59256200,0.006666666666666599,,
12,2021-11-17,151.0,155.0,150.99000549316406,153.49000549316406,151.0162353515625,88807000,0.016490102603735624,,
13,2021-11-18,153.7100067138672,158.6699981689453,153.0500030517578,157.8699951171875,155.3256378173828,137827700,0.02853599235957094,,
14,2021-11-19,157.64999389648438,161.02000427246094,156.52999877929688,160.5500030517578,157.9624481201172,117305600,0.016976043690765552,,
15,2021-11-22,161.67999267578125,165.6999969482422,161.0,161.02000427246094,158.42489624023438,117467900,0.002927444483147079,,
16,2021-11-23,161.1199951171875,161.8000030517578,159.05999755859375,161.41000366210938,158.80862426757812,96041900,0.0024220555167078217,,
17,2021-11-24,160.75,162.13999938964844,159.63999938964844,161.94000244140625,159.330078125,69463600,0.003283555958565998,,
18,2021-11-26,159.57000732421875,160.4499969482422,156.36000061035156,156.80999755859375,154.28273010253906,76959800,-0.031678429081589354,,
19,2021-11-29,159.3699951171875,161.19000244140625,158.7899932861328,160.24000549316406,157.65744018554688,88748200,0.02187365594013646,153.70350189208983,
